Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
Aceh,2020,4.0,2.0,95.0,5.5,113.7,54.68,Moderate
Aceh,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
Aceh,2022,5.0,5.5,94.3,5.5,123.4,65.85,High
Aceh,2023,5.0,5.5,95.0,5.5,104.0,66.64,Moderate
Bali,2020,4.0,2.5,91.0,5.5,113.7,56.98,Moderate
Bali,2021,5.5,4.5,82.0,5.5,100.2,59.8,Moderate
Bali,2022,5.0,5.5,98.0,5.5,116.9,65.59,High
Bali,2023,5.0,5.5,100.0,5.5,117.0,67.39,Moderate
Bangka Belitung Islands,2021,4.5,4.5,101.6,5.5,104.3,61.81,High
Bangka Belitung Islands,2022,5.0,5.5,85.6,5.5,98.6,63.08,High
Bangka Belitung Islands,2023,5.0,6.0,93.0,5.5,109.0,66.17,Moderate
Bangka Belitung Islands,2020,4.5,2.0,98.0,5.5,113.7,57.03,Moderate
Banten,2020,4.5,2.5,98.0,5.5,113.7,58.77,Moderate
Banten,2021,5.0,4.5,100.2,5.5,110.0,61.78,High
Banten,2022,5.0,5.5,97.4,5.5,111.2,65.7,High
Banten,2023,5.5,5.5,93.0,5.0,114.0,66.23,Moderate
Bengkulu,2020,4.0,2.5,111.0,5.5,113.7,58.0,Moderate
Bengkulu,2021,4.5,4.5,98.2,5.5,123.0,62.14,High
Bengkulu,2022,5.0,5.5,92.6,5.5,116.8,64.16,High
Bengkulu,2023,4.5,5.0,106.0,5.0,128.0,64.54,Moderate
Central Java,2020,4.5,2.5,108.0,5.5,113.7,61.88,High
Central Java,2021,5.5,4.5,124.2,5.5,126.9,68.3,High
Central Java,2023,5.5,6.0,110.0,5.5,129.0,71.31,Moderate
Central Kalimantan,2020,4.0,2.5,89.0,5.5,113.7,56.04,Moderate
Central Kalimantan,2021,4.5,4.0,113.3,5.0,112.7,60.38,Moderate
Central Kalimantan,2022,5.0,5.5,96.6,5.0,102.8,63.82,High
Central Kalimantan,2023,5.0,5.5,91.0,5.5,110.0,65.95,Moderate
Central Sulawesi,2020,3.5,2.0,83.0,5.5,113.7,49.85,Moderate
Central Sulawesi,2021,4.5,4.0,85.0,4.5,96.9,56.33,Moderate
Central Sulawesi,2022,4.0,4.5,87.6,5.0,111.8,56.86,Moderate
Central Sulawesi,2023,4.5,5.5,89.0,5.5,105.0,61.28,Moderate
East Java,2020,5.0,2.5,116.0,5.5,113.7,63.96,High
East Java,2021,5.5,4.5,102.0,5.5,112.6,64.2,High
East Java,2023,5.0,5.5,115.0,6.0,128.0,69.78,Moderate
East Kalimantan,2020,5.0,2.5,106.0,5.5,113.7,62.08,High
East Kalimantan,2021,5.5,4.5,91.8,5.5,112.9,64.85,High
East Kalimantan,2023,5.0,5.5,109.0,6.0,123.0,68.46,Moderate
East Nusa Tenggara,2020,3.5,2.5,92.0,5.5,113.7,55.94,Moderate
East Nusa Tenggara,2021,5.0,4.5,95.8,5.5,114.3,63.0,High
East Nusa Tenggara,2022,5.0,5.5,90.0,5.5,126.4,64.84,High
East Nusa Tenggara,2023,5.5,5.0,111.0,5.5,120.0,67.81,Moderate
Gorontalo,2020,3.5,2.0,89.0,5.5,113.7,51.36,Moderate
Gorontalo,2021,4.5,3.5,96.2,5.0,112.8,56.58,Moderate
Gorontalo,2022,4.0,4.5,101.4,4.5,116.7,58.72,Moderate
Gorontalo,2023,5.0,4.5,121.0,5.5,131.0,64.59,Moderate
Indonesia,2020,4.0,2.0,96.0,5.5,113.7,55.74,Moderate
Indonesia,2022,5.0,5.0,98.0,5.5,117.0,63.9,High
Indonesia,2023,5.0,5.5,107.0,5.5,117.0,66.77,Moderate
Jakarta,2020,4.5,2.5,118.0,5.5,113.7,60.84,High
Jakarta,2021,4.5,4.5,101.6,5.5,107.7,62.25,High
Jakarta,2022,5.5,5.5,112.4,5.5,114.2,68.71,High
Jakarta,2023,5.5,5.0,126.0,5.5,124.0,69.94,Moderate
Jambi,2020,4.0,2.0,96.0,5.5,113.7,54.34,Moderate
Jambi,2021,4.5,4.0,88.6,5.0,97.8,57.52,Moderate
Jambi,2022,5.0,5.0,98.3,5.0,114.9,63.75,High
Jambi,2023,5.0,5.5,112.0,5.5,130.0,68.1,Moderate
Lampung,2020,4.5,2.5,111.0,5.5,113.7,61.48,High
Lampung,2021,5.0,4.5,86.8,5.5,101.2,62.44,High
Lampung,2022,5.0,5.5,96.1,5.5,106.6,64.19,High
Lampung,2023,5.0,5.5,94.0,5.5,107.0,66.38,Moderate
Maluku,2020,3.5,2.5,91.0,5.5,113.7,52.9,Moderate
Maluku,2021,4.5,3.5,81.8,4.5,99.5,53.64,Moderate
Maluku,2022,4.0,5.0,83.4,5.0,120.6,56.88,Moderate
Maluku,2023,4.5,5.0,97.0,5.5,124.0,62.88,Moderate
North Kalimantan,2020,3.5,1.5,84.0,5.5,113.7,47.71,Moderate
North Kalimantan,2021,4.5,3.5,95.5,4.5,111.4,56.12,Moderate
North Kalimantan,2022,4.5,5.0,88.4,5.5,114.2,60.7,High
North Kalimantan,2023,5.5,5.5,113.0,5.5,113.0,69.31,Moderate
North Maluku,2020,4.0,2.0,98.0,5.5,113.7,55.27,Moderate
North Maluku,2021,4.5,4.0,102.6,4.5,109.1,60.01,Moderate
North Maluku,2022,4.5,4.5,112.4,5.5,140.8,62.32,High
North Maluku,2023,5.0,5.0,60.0,5.5,133.0,65.9,Moderate
North Sulawesi,2020,3.5,2.0,80.0,5.5,113.7,48.03,Moderate
North Sulawesi,2021,3.5,3.5,84.8,4.5,105.3,52.57,Moderate
North Sulawesi,2022,4.0,4.5,87.7,5.0,118.9,55.58,Moderate
North Sulawesi,2023,5.0,5.0,104.0,5.5,124.0,64.41,Moderate
North Sumatra,2020,3.5,2.0,95.0,5.5,113.7,53.11,Moderate
North Sumatra,2021,4.5,4.0,94.1,5.5,106.0,57.26,Moderate
North Sumatra,2022,5.0,5.0,100.2,5.5,113.7,64.7,High
North Sumatra,2023,5.0,5.5,105.0,5.5,110.0,67.01,Moderate
Papua,2020,3.0,1.5,73.0,5.5,113.7,44.02,Moderate
Papua,2022,4.0,4.5,91.5,5.0,130.2,55.93,Moderate
Riau,2020,4.0,2.0,99.0,5.5,113.7,55.2,Moderate
Riau,2021,5.0,4.0,90.6,5.5,115.3,59.77,Moderate
Riau,2022,5.0,5.5,95.8,5.5,114.2,64.23,High
Riau,2023,5.0,5.5,100.0,5.5,115.0,66.69,Moderate
Riau Islands,2020,4.0,2.5,98.0,5.5,113.7,56.36,Moderate
Riau Islands,2021,4.5,4.5,97.5,5.5,113.7,61.83,High
Riau Islands,2022,4.5,5.0,94.0,5.5,129.8,62.02,High
Riau Islands,2023,5.0,5.0,112.0,5.0,104.0,65.8,Moderate
South East Sulawesi,2020,4.5,2.5,82.0,5.5,113.7,55.99,Moderate
South East Sulawesi,2021,4.5,3.5,85.2,5.5,122.5,57.63,Moderate
South East Sulawesi,2022,5.0,5.5,96.6,5.5,121.2,65.23,High
South East Sulawesi,2023,5.5,5.5,101.0,6.0,116.0,68.02,Moderate
South Kalimantan,2020,4.0,2.5,94.0,5.5,113.7,55.85,Moderate
South Kalimantan,2021,5.0,4.5,92.6,5.5,104.3,60.85,Moderate
South Kalimantan,2022,4.5,5.5,105.9,5.0,105.2,64.95,High
South Kalimantan,2023,5.0,5.5,103.0,5.5,110.0,67.14,Moderate
South Sulawesi,2020,4.5,2.0,106.0,5.5,113.7,58.9,Moderate
South Sulawesi,2021,5.0,4.5,106.7,5.5,113.5,63.1,High
South Sulawesi,2023,5.0,5.5,125.0,5.0,116.0,68.2,Moderate
South Sumatra,2020,4.0,2.0,87.0,5.5,113.7,52.38,Moderate
South Sumatra,2021,4.5,4.0,84.2,4.5,100.2,55.51,Moderate
South Sumatra,2022,4.5,5.0,92.0,5.0,109.5,61.52,High
South Sumatra,2023,5.0,5.0,105.0,5.5,103.0,64.15,Moderate
West Java,2020,5.0,2.5,112.0,5.5,113.7,62.84,High
West Java,2021,5.5,4.5,108.7,5.5,117.2,65.34,High
West Java,2023,5.5,5.5,119.0,5.5,135.0,70.47,Moderate
West Kalimantan,2020,4.0,2.0,95.0,5.5,113.7,55.24,Moderate
West Kalimantan,2021,4.5,3.5,96.8,4.5,105.1,57.46,Moderate
West Kalimantan,2022,5.0,5.5,91.8,5.5,107.3,64.1,High
West Kalimantan,2023,5.0,5.5,107.0,5.0,112.0,65.19,Moderate
West Nusa Tenggara,2020,4.0,2.5,83.0,5.5,113.7,53.49,Moderate
West Nusa Tenggara,2021,4.5,3.5,81.1,5.5,107.7,56.41,Moderate
West Nusa Tenggara,2022,4.5,5.0,88.8,5.5,127.4,60.97,High
West Nusa Tenggara,2023,5.0,5.5,100.0,5.5,105.0,65.58,Moderate
West Papua,2020,3.5,2.0,82.0,5.5,113.7,50.54,Moderate
West Papua,2022,4.0,4.5,86.8,5.0,106.8,54.81,Moderate
West Papua,2023,4.5,4.5,110.0,5.0,124.0,62.8,Moderate
West Sulawesi,2020,3.5,2.0,100.0,5.5,113.7,52.29,Moderate
West Sulawesi,2021,3.5,3.0,81.8,4.5,101.1,50.11,Moderate
West Sulawesi,2022,4.5,5.0,86.4,5.5,112.8,59.14,Moderate
West Sulawesi,2023,5.0,4.5,117.0,4.5,94.0,64.86,Moderate
West Sumatra,2020,4.0,2.0,97.0,5.5,113.7,56.09,Moderate
West Sumatra,2021,5.0,4.5,88.0,5.5,104.1,61.15,High
West Sumatra,2022,5.0,5.5,104.0,5.5,117.8,66.87,High
West Sumatra,2023,5.5,5.5,104.0,6.0,128.0,68.46,Moderate
Yogyakarta,2020,5.0,2.5,123.0,5.5,113.7,65.73,High
Yogyakarta,2023,5.5,5.5,129.0,6.0,138.0,73.27,Moderate
